r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
eyes," I catch thy parting sighs,",bah18-l06835,"I watch thy speaking eyes,",bah18-l06825,/aɪz/ | /aɪz/,full,<b>a</b>b<b>a</b>b,pers00281,bah18-w0510
rise,"Return enchanting looks and tender sighs,",bah18-l03865, Again in fancy's fairy vision rise;,bah18-l03870,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>bb,pers00281,bah18-w0180
cries, Suppress the heaving sighs:,o4987-l15765, The voice of Reason cries),o4987-l15755,/aɪz/ | /aɪz/,full,a<b>b</b>a<b>b</b>cc,pers00246,o4987-w0560
eyes," A lover's song, a lover's sighs,",cac95-l11330, Affection beaming from her eyes. ,cac95-l11340,/aɪz/ | /aɪz/,full,a<b>b</b>a<b>b</b>,pers00301,cac95-w0190
cried,Time breaks his hostile scythe; he sighs,o5157-l33380,"""And what avails my dart, he cried,",o5157-l33390,/aɪz/ | /aɪd/,half-vowelrhyme,aabccb<b>d</b>e<b>d</b>effgghhiikkllmmnnoppoqrqrssttuuvvwwyyzz,pers00058,o5157-w0670
eyes,"He caught her hand, and breath'd impassion'd sighs,",cac95-l06875, While fear and anger flush'd her cheeks and eyes;,cac95-l06880,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
cries,""" Thy RAPHAEL only guesses at thy sighs! "" ",cac95-l07215," ""Vainly thou beat'st thy breast, in vain thy cries,",cac95-l07210,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
eyes, His manly bosom heav'd with potent sighs;,cac95-l07640,"Sincerity and ardour fir'd his eyes,",cac95-l07635,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
lies,"His gen'rous efforts vain, and vain his sighs;",o5152-l25165,"See 'midst the vanquish'd virtuous, Falkland lies;",o5152-l25160,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
wise,"Ridiculously grave, for leisure sighs,",o5152-l25845,"Tho' each dull plodding thing, to ape the wise,",o5152-l25840,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
eyes, Her bosom heaving with Devotion's sighs! ,o4985-l10085," What kneeling form appears with stedfast eyes,",o4985-l10080,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
eyes," Go, ask the breast that teems with mournful sighs,",o4985-l10240, Who wip'd the sorrows from Affliction's eyes:,o4985-l10245,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
lies,"What bosom feels not, while with deepest sighs,",bjl92-l04570,A pale and mangl'd corps Amanda lies;,bjl92-l04580,/aɪz/ | /aɪz/,full,<b>a</b>b<b>a</b>b,pers00338,bjl92-w0160
eyes," Pleading Tears, and melting Sighs:",o5247-l03280," Tender, soft, beseeching Eyes,",o5247-l03275,/aɪz/ | /aɪz/,full,aa<b>b</b><b>b</b>cc,pers00295,o5247-w0180
