r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
bowers | hours,"REMOTE from those enchanting bowers,",o4984-l33795," Where dance the nimble-footed hours,",o4984-l33800,/aʊəz/ | /æəz/,half-pararhyme,<b>a</b><b>a</b>bccb,pers00252,o4984-w0610
hours | bowers," Where dance the nimble-footed hours,",o4984-l33800,"REMOTE from those enchanting bowers,",o4984-l33795,/æəz/ | /aʊəz/,half-pararhyme,<b>a</b><b>a</b>bccb,pers00252,o4984-w0610
folly | melancholy, Where revels frantic Folly;,o4984-l33805, Heart-searching Melancholy. ,o4984-l33820,/ɒli/ | /elənkli/,half-pararhyme,aa<b>b</b>cc<b>b</b>,pers00252,o4984-w0610
tear | drear," To thee I bring the tribute tear,",o4984-l33810," Visits the muse thy mansions drear,",o4984-l33815,/ɪə/ | /ɪə/,full,aab<b>c</b><b>c</b>b,pers00252,o4984-w0610
drear | tear," Visits the muse thy mansions drear,",o4984-l33815," To thee I bring the tribute tear,",o4984-l33810,/ɪə/ | /ɪə/,full,aab<b>c</b><b>c</b>b,pers00252,o4984-w0610
melancholy | folly, Heart-searching Melancholy. ,o4984-l33820, Where revels frantic Folly;,o4984-l33805,/elənkli/ | /ɒli/,half-pararhyme,aa<b>b</b>cc<b>b</b>,pers00252,o4984-w0610
led | tread,"By thee inspir'd, by Fancy led,",o4984-l33825," Thy hallowed ground I seem to tread,",o4984-l33830,/ed/ | /ed/,full,<b>a</b><b>a</b>bccb,pers00252,o4984-w0610
tread | led," Thy hallowed ground I seem to tread,",o4984-l33830,"By thee inspir'd, by Fancy led,",o4984-l33825,/ed/ | /ed/,full,<b>a</b><b>a</b>bccb,pers00252,o4984-w0610
plain | reign, Where o'er the joyless plain,o4984-l33835, Marks Melancholy's reign. ,o4984-l33850,/eɪn/ | /eɪn/,full,aa<b>b</b>cc<b>b</b>,pers00252,o4984-w0610
hue | yew," The aether sheds its blackest hue,",o4984-l33840, And here and there a lonely yew,o4984-l33845,/uː/ | /uː/,full,aab<b>c</b><b>c</b>b,pers00252,o4984-w0610
