r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
less,"And yet in this so bad is his success,",o5154-l20340,"That as his fame improves, his rents grow less;",o5154-l20345,/es/ | /es/,full,<b>a</b><b>a</b>,pers00112,o5154-w0310
less,"Thus I, long envying your success,",o5156-l05680,"And bent to write, and study less,",o5156-l05685,/es/ | /es/,full,<b>a</b><b>a</b>,pers00035,o5156-w0170
happiness,"External Pomp, and visible Success,",ppo24-l07460, Sometimes contribute to our Happiness;,ppo24-l07465,/es/ | /æpɪnəs/,half-pararhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0070
less,"Then let good Heav'n withhold, or grant Success,",pba35-l07755," Add to a Weight of Cares, or make it less;",pba35-l07760,/es/ | /es/,full,<b>a</b><b>a</b>,pers00087,pba35-w0550
confess,The Gaul stood wond'ring at his own success;,o5154-l02040,"Oft did his hardiest bands their wonted fears confess,",o5154-l02045,/es/ | /es/,full,aabbcc<b>d</b><b>d</b>eeff,pers00031,o5154-w0060
distress,Contriv'd a Charm with such Success;,o5354-l00090,"To help a Lover in Distress,",o5354-l00085,/es/ | /es/,full,<b>a</b><b>a</b>,pers00339,o5354-w0010
less, Which made him want Success. ,o4106-l03055, He feels his Back the less;,o4106-l03040,/es/ | /es/,full,aa<b>b</b>cc<b>b</b>,pers00294,o4106-w0070
mess,"Then flush'd with apparent success,",bsb18-l31936,"And, as he had made such a mess,",bsb18-l31938,/es/ | /es/,full,abab<b>c</b>d<b>c</b>d,pers00280,bsb18-w0860
bless,"Controul thine eye, salute success,",psm63-l01415," Honour the wiser, happier bless,",psm63-l01420,/es/ | /es/,full,<b>a</b><b>a</b>bccb,pers00254,psm63-w0010
stress,"Till, flush'd with hope from views of past success,",o5152-l40300,We lay on some main trifle all our stress;,o5152-l40305,/es/ | /es/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
address," Soldiers are rough, and cannot hope success",ppo24-l10105," By supple Flattery, and by soft Address;",ppo24-l10110,/es/ | /es/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0120
express,Upon the cause of his success?,o5153-l30610,What gratitude shall he express?,o5153-l30600,/es/ | /es/,full,a<b>b</b>a<b>b</b>,pers00038,o5153-w0540
distress," He'll Face the Battel, and will force Success. ",o3868-l00685," Who wisely Slept or Blubber'd in Distress,",o3868-l00680,/es/ | /es/,full,<b>a</b><b>a</b>,pers00296,o3868-w0010
redress, I have a draught that gives divine success;,cer72-l04890," Nor shall your utmost wishes want redress,",cer72-l04885,/es/ | /es/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
peace,"The coward's fortitude, the brave's success,",pjo50-l02835,"All fly to thee, thou gentle dawn of peace! ",pjo50-l02830,/es/ | /iːs/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0030
address,You fairer advocates met more success;,o5156-l34005,"I trust, by art and more polite address,",o5156-l34000,/es/ | /es/,full,<b>a</b><b>a</b>,pers00108,o5156-w0960
dress, The same their occupation and success. ,o3794-l00280," Cloath the twin brethren in each other's dress,",o3794-l00275,/es/ | /es/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
bless,"Nor, if my toils are answer'd with success,",o3588-l00915, And I am made an instrument to bless,o3588-l00920,/es/ | /es/,full,<b>a</b><b>a</b>,pers00155,o3588-w0010
profess,"Who writes the hardest, writes with most success.",o5154-l07665,"And if 'tis lab'ring only, men profess,",o5154-l07660,/es/ | /es/,full,<b>a</b><b>a</b>,pers00124,o5154-w0110
less,Is independent of success;,o5155-l27205,"That no defeat can make it less,",o5155-l27210,/es/ | /es/,full,aab<b>c</b><b>c</b>b,pers00027,o5155-w0470
address," My whisper always met success,",ojg27-l00945," The ladys prais'd me for address,",ojg27-l00950,/es/ | /es/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0030
possess," ""I learn, when toil has well deserv'd success,",o4986-l26345,""" Hope's placid, calm, expectance to possess,",o4986-l26350,/es/ | /es/,full,<b>a</b><b>a</b>,pers00044,o4986-w0570
confess, From Thy ill Councils date Thy ill Success. ,pmp18-l24150, And Human Faults with Human Grief confess:,pmp18-l24140,/es/ | /es/,full,a<b>b</b>a<b>b</b>cdcdee,pers00314,pmp18-w0730
guess," To Day they've good, to Morrow no Success. ",ppo24-l17465,"Gibbons and Radcliffe do but rarely guess,",ppo24-l17460,/es/ | /es/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0190
increase, And to each pointed Scandal give Success. ,o5247-l01375,"Still GODDESS, in our Souls thy Pow'r increase,",o5247-l01370,/es/ | /ɪnkriːs/,half-pararhyme,<b>a</b><b>a</b>,pers00295,o5247-w0060
less,"They would appear all eager of Success,",pse03-l10225," But are more cautious, cause their Charms less,",pse03-l10230,/es/ | /es/,full,<b>a</b><b>a</b>a,pers00272,pse03-w0470
undress,"They would appear all eager of Success,",pse03-l10225, Besides they are resolv'd they'll not undress:,pse03-l10235,/es/ | /es/,full,<b>a</b>a<b>a</b>,pers00272,pse03-w0470
peace," Paints His great Mind Superior to Success,",pmp18-l15670," Declining Conquest, to establish Peace:",pmp18-l15675,/es/ | /iːs/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0550
address," Not Hope, though promising to all success;",pcr18-l20670,And who that modest nymph of meek address? ,pcr18-l20660,/es/ | /es/,full,a<b>b</b>a<b>b</b>bcbcc,pers00275,pcr18-w0050
distress," Not Hope, though promising to all success;",pcr18-l20670," Not Mirth, nor Joy, though foe to all distress;",pcr18-l20675,/es/ | /es/,full,aba<b>b</b><b>b</b>cbcc,pers00275,pcr18-w0050
confess," Not Hope, though promising to all success;",pcr18-l20670," Thy birth relate, thy soothing arts confess;",pcr18-l20685,/es/ | /es/,full,aba<b>b</b>bc<b>b</b>cc,pers00275,pcr18-w0050
address, His Love had never known such ill Success;,pse03-l09310,"Had he been bless'd but with your soft Address,",pse03-l09305,/es/ | /es/,full,<b>a</b><b>a</b>,pers00272,pse03-w0430
guess,I'll only tell you the success.,o5157-l29230,"So, leaving this to each one's guess,",o5157-l29225,/es/ | /es/,full,<b>a</b><b>a</b>,pers00072,o5157-w0520
less," Lest pow'r exerted, but without success,",o3795-l27625, Should make the little ye retain still less. ,o3795-l27630,/es/ | /es/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
address," Are best disposed of, where with most success",o3795-l27980," They may acquire that confident address,",o3795-l27985,/es/ | /es/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
less," Each vainly magnifies his own success,",o3795-l28620," Resents his fellows, wishes it were less,",o3795-l28625,/es/ | /es/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
less," And smiling, flatter Princes with Success. ",pdi13-l03570,"The Gods awhile seem to design no less,",pdi13-l03565,/es/ | /es/,full,<b>a</b><b>a</b>,pers00266,pdi13-w0010
bless, But cannot with the world promote success. ,o3589-l00470,"This, in himself, himself of course must bless,",o3589-l00465,/es/ | /es/,full,<b>a</b><b>a</b>,pers00155,o3589-w0010
distress," Dare with such zeal, and meet with such success)",o3589-l03350, Whilst she (may ev'ry State in such distress,o3589-l03345,/es/ | /es/,full,<b>a</b><b>a</b>,pers00155,o3589-w0010
happiness," Her brother, anxious for a lord's success,",bsb18-l04605," Thought it no sin to blast my happiness,",bsb18-l04610,/es/ | /æpɪnəs/,half-pararhyme,<b>a</b><b>a</b>,pers00280,bsb18-w0010
peace, Which brought to every guiltless with success? ,o4984-l18300, And every evening clos'd in calms of peace. ,o4984-l18310,/es/ | /iːs/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00085,o4984-w0360
greece,With wondrous Art but ill Success,oat77-l04995,"AS when the fam'd Artificer of Greece,",oat77-l04990,/es/ | /iːs/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0260
undress," Yet in searching about I had better Success,",o3364-l02645, For I got to a Place where the Ladies undress;,o3364-l02650,/es/ | /es/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
bless,"Thy toils, and crown them with success:",o5156-l25465,Fortune beyond thy hopes shall bless,o5156-l25460,/es/ | /es/,full,<b>a</b><b>a</b>,pers00045,o5156-w0730
