r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
warmed," Sweet poetry our senses charm'd,",o3913-l00430, And our imaginations warm'd;,o3913-l00435,/ɑːmd/ | /ɔːmd/,half-pararhyme,<b>a</b><b>a</b>,pers00304,o3913-w0020
warmed," And write by inward magic charmed,",bjb18-l04930, And high enthusiasm warmed? ,bjb18-l04935,/ɑːmd/ | /ɔːmd/,half-pararhyme,aa<b>b</b><b>b</b>cc,pers00287,bjb18-w0040
armed," By nought but Edwin's monkey visage charm'd,",o5280-l05020,"With vulgar dissonance the gall'ries arm'd,",o5280-l05015,/ɑːmd/ | /ɑːmd/,full,<b>a</b><b>a</b>,pers00277,o5280-w0330
warmed,"THERE fled the fair, that all beholders charm'd,",o4985-l09690," Whose beauty fir'd us, and whose spirit warm'd! ",o4985-l09695,/ɑːmd/ | /ɔːmd/,half-pararhyme,<b>a</b><b>a</b>,pers00232,o4985-w0150
warmed," The wit that ravish'd, and the mien that charm'd! ",o4985-l10545,"Ah! lost, for ever lost! the breath that warm'd,",o4985-l10540,/ɑːmd/ | /ɔːmd/,half-pararhyme,<b>a</b><b>a</b>,pers00232,o4985-w0150
warmed,"Whilst every ear was with his accents charm'd,",o5156-l38120,As every breast was with his ardour warm'd:,o5156-l38125,/ɑːmd/ | /ɔːmd/,half-pararhyme,<b>a</b><b>a</b>,pers00069,o5156-w1200
warmed," And not too fondly, or too rashly charm'd,",pjo50-l03755,"Beauclerk, farewel! — If, with thy virtues warm'd,",pjo50-l03750,/ɑːmd/ | /ɔːmd/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0040
warmed," For wak'd by notes that oft have charm'd,",o5280-l03165, Again by hallow'd frenzy warm'd. ,o5280-l03170,/ɑːmd/ | /ɔːmd/,half-pararhyme,<b>a</b><b>a</b>,pers00277,o5280-w0210
alarmed,"And had he lov'd you more, he less had charm'd.",o5153-l01200,His careless indolence your pride alarm'd;,o5153-l01195,/ɑːmd/ | /ɑːmd/,full,<b>a</b><b>a</b>,pers00030,o5153-w0010
warmed,By friendship's happy union charm'd;,o5153-l34875,And gentle smiles my bosom warm'd.,o5153-l34885,/ɑːmd/ | /ɔːmd/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00147,o5153-w0670
armed,By moral beauty was Eugenio charm'd;,bed98-l05590,"By philosophic virtue firmly arm'd,",bed98-l05585,/ɑːmd/ | /ɑːmd/,full,<b>a</b><b>a</b>,pers00340,bed98-w0150
warmed, The softer Lyre his gloomy Sorrows charm'd;,o4741-l16325," Man's Bosom then sonorous Organs warm'd,",o4741-l16320,/ɑːmd/ | /ɔːmd/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0360
alarmed,"By SEYMOUR'S winning influence charm'd,",o5156-l01360,"And though by faithless friends alarm'd,",o5156-l01350,/ɑːmd/ | /ɑːmd/,full,<b>a</b>b<b>a</b>cbdeedccff,pers00035,o5156-w0010
disarmed,With a Face so Angelick the Foe will be charmed,oar96-l08480, The Conquest were his tho he met'em disarm'd. ,oar96-l08485,/ɑːmd/ | /ɑːmd/,full,<b>a</b><b>a</b>,pers00265,oar96-w0440
warmed, And wound the Ears it has so often charm'd:,o5247-l03040," Chide me in cruel Sounds, with Fury warm'd,",o5247-l03035,/ɑːmd/ | /ɔːmd/,half-pararhyme,<b>a</b><b>a</b>,pers00295,o5247-w0160
warmed,"The Royal Youth by MARLBRÔ'S Presence charm'd,",o3499-l02145," Taught by his Counsels, by his Actions warm'd,",o3499-l02150,/ɑːmd/ | /ɔːmd/,half-pararhyme,<b>a</b><b>a</b>,pers00150,o3499-w0010
warmed,"Thus spoke the tongue where earth too deeply charm'd,",bed98-l09525,Thus felt the heart by strong affections warm'd;,bed98-l09530,/ɑːmd/ | /ɔːmd/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0240
armed," In vain the Fruit had blush'd, or Serpent charm'd:",pmp18-l02215,"With Virtue strong as Your's had Eve been arm'd,",pmp18-l02210,/ɑːmd/ | /ɑːmd/,full,<b>a</b><b>a</b>bb,pers00314,pmp18-w0070
disarmed," Till the free Soul to a compos'dness charm'd,",o4784-l24545," Finding the Elements of Rage disarm'd,",o4784-l24550,/ɑːmd/ | /ɑːmd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0860
warmed," Some false delight my giddy sense has charm'd,",o4984-l18810," Snar'd by example, or by passion warm'd,",o4984-l18805,/ɑːmd/ | /ɔːmd/,half-pararhyme,<b>a</b><b>a</b>,pers00085,o4984-w0380
alarmed," Whose Wit inspired, and whose Follies charm'd:",o5125-l00020," Whose shining Eyes a thousand Hearts alarm'd,",o5125-l00015,/ɑːmd/ | /ɑːmd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0010
armed, She shuns the lovely Swain she charm'd;,o5247-l00665," But still with native Shyness arm'd,",o5247-l00660,/ɑːmd/ | /ɑːmd/,full,<b>a</b><b>a</b>,pers00295,o5247-w0020
warmed,"Where, by the Strength of this Idea charm'd,",pmp18-l41315," Lighten'd with Glory, and with Rapture warm'd,",pmp18-l41320,/ɑːmd/ | /ɔːmd/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1110
formed," On her red lips a mild composure charm'd,",pcm93-l01555, And perfect symmetry her figure form'd. ,pcm93-l01560,/ɑːmd/ | /ɔːmd/,half-pararhyme,<b>a</b><b>a</b>,pers00313,pcm93-w0030
