r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
days, When hand in hand we trod the paths of Praise;,o4986-l16865,"Thou dear companion of my better days,",o4986-l16860,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
displays," Her glorious flag, to steer his course to praise;",o4986-l18775,"Yet fear not thou, when Liberty displays",o4986-l18770,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
lays, Sing thy dangerous Beauty's Praise. ,o4784-l15155, Or with melancholy Lays,o4784-l15150,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0460
lays, A friend excites your partial praise. ,o3913-l00305,"Despise not then these humble lays,",o3913-l00300,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00304,o3913-w0020
brays, But at each word what shouts of praise! ,ojg27-l04955,Good Gods! how natural he brays! ,ojg27-l04960,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0200
says,"Or who'd be fond of empty Praise,",clc03-l10245,Of what the noisie Rabble says?,clc03-l10250,/eɪz/ | /ez/,half-pararhyme,<b>a</b><b>a</b>,pers00349,clc03-w0210
bays,"I neither need, nor value praise,",clc03-l10455,And scorn a with'ring Wreath of Bays.,clc03-l10460,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00349,clc03-w0210
ease," Unmeaning raptures in her praise,",o4987-l28590,"He dress'd, indeed, he danc'd with ease,",o4987-l28580,/eɪz/ | /iːz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00189,o4987-w0790
days,"Full fain, O bless'd Eliza! would I praise",sap09-l03090," Thy Maiden Rule, and Albion's Golden Days:",sap09-l03095,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00302,sap09-w0060
lays,While the springs of HEALTH I praise:,o5156-l24375,"Listen gracious to my lays,",o5156-l24370,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
lays,"Now attunes to notes of praise,",o5156-l25005,"He, who, greeting thee, his lays",o5156-l25000,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
lays, And wake my harp to fam'd Lothario's praise. ,bjl92-l04155," Once more conspire to aid my humble lays,",bjl92-l04150,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0150
maze, By every breath of praise;,o4987-l15815, In controversy's maze;,o4987-l15825,/eɪz/ | /eɪz/,full,a<b>b</b>a<b>b</b>cc,pers00246,o4987-w0560
says,"Alike if satire or if praise,",o5153-l23635,She says whate'er the circle says;,o5153-l23640,/eɪz/ | /ez/,half-pararhyme,<b>a</b><b>a</b>,pers00119,o5153-w0350
rays,Were wholly taken up with Praise.,oau90-l05455,With Beauties penetrating Rays;,oau90-l05440,/eɪz/ | /eɪz/,full,aa<b>b</b>cc<b>b</b>,pers00350,oau90-w0140
days,"MY fainting heart my God would praise,",bed98-l22160,"Review his love thro' all my days,",bed98-l22170,/eɪz/ | /eɪz/,full,<b>a</b>b<b>a</b>b,pers00340,bed98-w0810
bays," Thus scriblers, covetous of praise,",ojg27-l10935, Think slander can transplant the bays. ,ojg27-l10940,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0460
obeys," Who found thee nothing, form'd thee for his praise. ",o3794-l13200," And he whose pow'r mere nullity obeys,",o3794-l13195,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
bays," As a Female Poet, he had gain'd some praise,",oae86-l01480, But now his malice blasts his twig of Bays. ,oae86-l01485,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
bays," But I'm too dull to give my Sex due praise,",oae86-l01760, The task befits a Laureat Crown'd with Bays:,oae86-l01765,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
lays," To sing your wit, and beauty's praise;",pjo50-l03980,"But, ere I tune my artless lays,",pjo50-l03975,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0070
face,But silently their great Creator praise;,oau90-l16730,"And if they chance to see a human Face,",oau90-l16735,/eɪz/ | /eɪs/,half-vowelrhyme,aabb<b>c</b><b>c</b>dd,pers00350,oau90-w0570
blaze," Thy martial glory, crown'd with praise,",o5089-l34235, Still shone with undiminish'd blaze? ,o5089-l34240,/eɪz/ | /eɪz/,full,aa<b>b</b><b>b</b>ccdd,pers00185,o5089-w0720
ways,Let thy Adorers justly praise,o5247-l02205," Extol thy Charms a thousand Ways,",o5247-l02215,/eɪz/ | /eɪz/,full,<b>a</b>b<b>a</b>b,pers00295,o5247-w0110
lays," And well, I wot, they give you all the praise. ",bjb18-l04945,"We dare not question heavenly lays,",bjb18-l04940,/eɪz/ | /eɪz/,full,aabb<b>c</b><b>c</b>,pers00287,bjb18-w0040
lays, I'll lift my heart to you and sing your praise. ,bjb18-l05035," And still the learned scorn my lays,",bjb18-l05030,/eɪz/ | /eɪz/,full,aabb<b>c</b><b>c</b>,pers00287,bjb18-w0040
conveys,The doubtful plaudit of a human praise;,bed98-l19745,"Then, tho' a mouldering stone no more conveys,",bed98-l19740,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00340,bed98-w0620
days,"Tho' in thy prime cut off from earthly praise,",bed98-l19810,Wisdom has been to thee as length of days.,bed98-l19815,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00340,bed98-w0620
days,"From the dull marble vindicate her praise,",o5153-l31825,And waft it down to lighten future days.,o5153-l31830,/eɪz/ | /eɪz/,full,aabbccdeedffgghihi<b>k</b><b>k</b>,pers00040,o5153-w0590
lays,"While sacred story rings with SHEBA'S praise,",o5153-l32225,And GLORIANA blooms in SPENSER'S lays;,o5153-l32240,/eɪz/ | /eɪz/,full,aabcbc<b>d</b>ee<b>d</b>ffgghhikkii,pers00040,o5153-w0590
raise,"O! may the Muse inspire the love of praise,",o5152-l25120,"Raise the bright passion, but with judgment raise!",o5152-l25125,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
lays,"Blest youth! insur'd the sweetest voice of praise,",o5152-l25180,Who lives approv'd in Pope's unrival'd lays.,o5152-l25185,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
rays,"His truth shall guide us, and shall last his praise.",o5152-l25690,"Long as those orbs he weigh'd shall shed their rays,",o5152-l25685,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
days,And laurell'd bards proclaim thy lasting praise.,o5157-l27505,"Shall boast thy thoughts in distant days,",o5157-l27495,/eɪz/ | /eɪz/,full,a<b>b</b>a<b>b</b>,pers00089,o5157-w0420
rays,""" Tune every voice to grateful praise,",pcm93-l06890,"ARISE, kind Sun! with brighter rays",pcm93-l06880,/eɪz/ | /eɪz/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0080
lays, No more Sebetus murmur TASSO's Praise:,o4741-l21255, No more let Meles boast of HOMER's Lays;,o4741-l21250,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00091,o4741-w0410
betrays,""" Ashley, how loud in Virtue's praise! ",o4986-l02435," ""Yet Ashley with a kiss betrays",o4986-l02440,/eɪz/ | /eɪz/,full,aab<b>c</b><b>c</b>b,pers00237,o4986-w0030
lays," Ceasless they sound the FATHER's Praise,",o4741-l05365, The FATHER too approves their Lays;,o4741-l05370,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00091,o4741-w0080
raise, Let Earth and Dust attempt thy Praise. ,o3900-l13635," To whom Heaven's Host their Voices raise,",o3900-l13625,/eɪz/ | /eɪz/,full,a<b>b</b>a<b>b</b>,pers00310,o3900-w0740
