r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
tell, Content can imitate so well;,bsb18-l10840," Yet tastes so like, you scarce can tell, —",bsb18-l10835,/el/ | /el/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0120
dwell,Guardian of the sacred well.,o5156-l24545,"Near the favourite streams to dwell,",o5156-l24540,/el/ | /el/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
cell,To you the Naiad of this balmy well,o5156-l09915,Reveals the wonders of her secret cell:,o5156-l09920,/el/ | /el/,full,<b>a</b><b>a</b>,pers00120,o5156-w0380
mysel," But friends an' folk that wish me well,",cbu86-l15755,"I winna blaw about mysel,",cbu86-l15745,/el/ | /aɪsəl/,half-pararhyme,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0270
tell," But friends an' folk that wish me well,",cbu86-l15755, As ill I like my fauts to tell;,cbu86-l15750,/el/ | /el/,full,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0270
still," But friends an' folk that wish me well,",cbu86-l15755," Tho' I maun own, as monie still,",cbu86-l15765,/el/ | /ɪl/,half-pararhyme,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0270
tell, Nor Nightingales can sing so well. ,o4784-l08830,When thus she did his Highness tell:,o4784-l08820,/el/ | /el/,full,<b>a</b>a<b>a</b>,pers00268,o4784-w0200
excel, Nor Nightingales can sing so well. ,o4784-l08830," In Looks my Young do all excel,",o4784-l08825,/el/ | /el/,full,a<b>a</b><b>a</b>,pers00268,o4784-w0200
fell," Nor drew a Sigh, but only cry'd, 'Tis well;",o5125-l21350,"Yet as he liv'd, without a Groan he fell,",o5125-l21345,/el/ | /el/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
spell,"Is adverse providence when ponder'd well,",o3794-l11535," So dimly writ or difficult to spell,",o3794-l11540,/el/ | /el/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
hell," Though heav'nly in pretension, fleec'd thee well;",o3794-l12560," Legates and delegates with pow'rs from hell,",o3794-l12555,/el/ | /el/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
hell, Man curse dead woman; I could hear as well,oae86-l00395, The black infernal Devils curse their Hell:,oae86-l00400,/el/ | /el/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
hell,"And Sir, methinks you do describe so well",oae86-l01565," The way and manner Bewley enter'd Hell,",oae86-l01570,/el/ | /el/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
tell, And loved your inward visions well;,bjb18-l05270, You add but to the bard the art to tell. ,bjb18-l05275,/el/ | /el/,full,aabb<b>c</b><b>c</b>,pers00287,bjb18-w0040
tell,"Ye Scots wha wish auld Scotland well,",cbu86-l01705," Ye chief, to you my tale I tell,",cbu86-l01710,/el/ | /el/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0020
mysel,"Ye Scots wha wish auld Scotland well,",cbu86-l01705," Poor, plackless devils like mysel,",cbu86-l01715,/el/ | /aɪsəl/,half-pararhyme,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0020
mell,"Ye Scots wha wish auld Scotland well,",cbu86-l01705," Wi' bitter, dearthfu' wines to mell,",cbu86-l01725,/el/ | /el/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0020
fell,"The fatal sword perform'd too well,",pcm93-l07260," Without a sigh fair Gertrude fell,",pcm93-l07270,/el/ | /el/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0080
tell,"For having feign'd so well,",o5153-l06675,Its real flame to tell.,o5153-l06695,/el/ | /el/,full,a<b>b</b>acc<b>b</b>,pers00030,o5153-w0190
dwell," Brother, I grant you reason well,",ojg27-l05800,"Were you no more with goats to dwell,",ojg27-l05795,/el/ | /el/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0230
excel," He knew the tricks of tourneying full well,",o4198-l03455," In running race ne manne culd him excell,",o4198-l03460,/el/ | /el/,full,aa<b>b</b><b>b</b>bacc,pers00288,o4198-w0160
tel," He knew the tricks of tourneying full well,",o4198-l03455, Or how to wielde a sworde better tel. ,o4198-l03465,/el/ | /el/,full,aa<b>b</b>b<b>b</b>acc,pers00288,o4198-w0160
skell," Whom he had fed, and taught, and lov'd so well. ",o4784-l09535," The Dog was chang'd away, the pretty Skell",o4784-l09530,/el/ | /el/,full,<b>a</b><b>a</b>,pers00268,o4784-w0230
tell, He ties the Knot; and all goes well. ,pmp18-l32415,So to the Priest their Case They tell:,pmp18-l32410,/el/ | /el/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
dwell," Explained, illustrated and searched so well",o3794-l23360," The tender theme on which they chose to dwell,",o3794-l23365,/el/ | /el/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
excel, But to treat justly what he lov'd so well. ,o3794-l23845," Ambitious, not to shine or to excel,",o3794-l23840,/el/ | /el/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
hell," But in Life behave so well,",o5454-l04140,Wicked Fashions lead to Hell;,o5454-l04130,/el/ | /el/,full,<b>a</b>b<b>a</b>b,pers00292,o5454-w0390
