r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
fails," But sedentary weavers of long tales,",o3794-l21760, Give me the fidgets and my patience fails. ,o3794-l21765,/eɪliːz/ | /eɪlz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00269,o3794-w0070
prevails," Who, might calm reason credit idle tales,",o4110-l00885," By rancour forg'd where prejudice prevails,",o4110-l00890,/eɪliːz/ | /eɪlz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00155,o4110-w0010
gales," But wayward laugh, or vie in wanton Tales:",pdi22-l01730," Your Presence gives clear Skies, and pleasing Gales. ",pdi22-l01735,/eɪliːz/ | /eɪlz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
vales, How charm'd I've listen'd to his melting tales;,bjl92-l02935," Witness ye rural walks and verdant vales,",bjl92-l02930,/eɪliːz/ | /eɪlz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00338,bjl92-w0120
fails, Who seeks to purchase Fame by childish Tales. ,o4784-l13770,"Whilst of his Aim the lazy Trifler fails,",o4784-l13765,/eɪliːz/ | /eɪlz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00268,o4784-w0410
deals," In long, insipid, ancient tales,",pjo50-l12855,"The venerable Sage, who deals",pjo50-l12850,/eɪliːz/ | /iːlz/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0490
vails,"When cleanly servants, if we trust old tales,",o5152-l05910,"Besides their wages had good fairy vails,",o5152-l05915,/eɪliːz/ | /eɪlz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00011,o5152-w0080
vales,"To fright his sisters with his tales,",o5157-l19745,"Who travers'd seas, and hills and vales,",o5157-l19740,/eɪliːz/ | /eɪlz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00114,o5157-w0300
vales,The circling sea-nymphs told alternate tales,o5154-l35440,"When in sequester'd coral vales,",o5154-l35430,/eɪliːz/ | /eɪlz/,half-vowelrhyme,<b>a</b>b<b>a</b>b,pers00051,o5154-w0660
vales, And neighb'ring hills resound the moving tales. ,peh89-l06135," The plaintive sounds shall die along the vales,",peh89-l06130,/eɪliːz/ | /eɪlz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00324,peh89-w0050
prevails,"But now, farewell all legendary tales,",o3795-l27145," The shadows fly, philosophy prevails,",o3795-l27150,/eɪliːz/ | /eɪlz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00269,o3795-w0080
assails, From Dryden's Fables down to D—y's Tales. ,o3675-l03110,"All Books he reads, and all he reads assails,",o3675-l03105,/eɪliːz/ | /eɪlz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00012,o3675-w0010
wales," Heir to his Plays, his Fables and his Tales,",oab00-l00510, Con— is the Poetick Prince of Wales;,oab00-l00515,/eɪliːz/ | /eɪlz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00335,oab00-w0010
