r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
sigh, And paint them new charms with a lie. ,o4198-l02940, Nor welcom'd the frown with a sigh;,o4198-l02930,/aɪ/ | /aɪ/,full,a<b>b</b>a<b>b</b>,pers00288,o4198-w0150
eye," You lie, says my Conscience, you lie;",o4198-l02970, I'd view her a hag to my eye. ,o4198-l02980,/aɪ/ | /aɪ/,full,a<b>b</b>a<b>b</b>,pers00288,o4198-w0150
sky,The Mysteries of Creation lie,o4672-l02160," Thoughts can ascend above the Sky,",o4672-l02170,/aɪ/ | /aɪ/,full,<b>a</b>b<b>a</b>b,pers00292,o4672-w0110
die, As to confirm that wicked Lie,o5454-l01795,"So did his Wife Sapphira die,",o5454-l01785,/aɪ/ | /aɪ/,full,<b>a</b>b<b>a</b>b,pers00292,o5454-w0150
cry," When Ravens pant, and Snakes in Caverns lye;",sap09-l03055,"When Locusts in the ferny Bushes cry,",sap09-l03050,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00302,sap09-w0060
by," My Love, in yonder Vale asleep does lye. ",sap09-l03225," Ye Swains, I beg you, pass in Silence by;",sap09-l03220,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00302,sap09-w0060
high," While modest merit doth neglected lie,",o4985-l27025, But the rank nettle rears her crest on high;,o4985-l27015,/aɪ/ | /aɪ/,full,ababb<b>c</b>b<b>c</b>c,pers00033,o4985-w0390
eye," While modest merit doth neglected lie,",o4985-l27025, And pines in lonely shade unseen of vulgar eye. ,o4985-l27030,/aɪ/ | /aɪ/,full,ababbcb<b>c</b><b>c</b>,pers00033,o4985-w0390
eye, Quench'd in dust each star shall lie;,o5280-l04265," Vainly beams the glist'ning eye,",o5280-l04260,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00277,o5280-w0300
nigh, And in the dreary moss he's forc'd to lie. ,bjl92-l04335," He look'd for help, alas! no help was nigh,",bjl92-l04330,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0150
die," Where Worlds and Men consuming lie,",o4602-l00575, And in One bright Confusion Die. ,o4602-l00580,/aɪ/ | /aɪ/,full,abab<b>c</b><b>c</b>,pers00150;pers00151,o4602-w0010
